#Start @ Tue Jul  9 12:31:03 2019
#Twotheta(degree) Theta Q Time Count1 Count2 Count3 Count4 Count5 Count6 Count7 Count8
0.300000 0.150000 0.0 5 53660 648 858 1464 1404 10435 8676 0
0.320000 0.160000 0.0 5 53661 590 977 1612 1395 10632 8760 0
0.340000 0.170000 0.0 5 53659 437 1811 1536 1414 10567 8743 0
0.360000 0.180000 0.0 5 53684 455 3562 1586 1341 10427 8525 0
0.380000 0.190000 0.0 5 53699 329 7567 1618 1356 10543 8506 0
0.400000 0.200000 0.0 5 53697 271 9221 1641 1337 10520 8605 0
0.420000 0.210000 0.0 5 53696 234 9932 1683 1361 10737 8736 0
0.440000 0.220000 0.0 5 53692 214 8179 1901 1282 10664 8507 0
0.460000 0.230000 0.0 5 53690 193 5718 2114 1223 10703 8588 0
0.480000 0.240000 0.0 5 53691 179 3991 2584 1252 10520 8575 0
0.500000 0.250000 0.0 5 53688 177 1038 2914 1224 10603 8422 0
0.520000 0.260000 0.0 5 53685 162 876 2703 1161 10612 8563 0
0.540000 0.270000 0.0 5 53682 157 810 2601 1149 10702 8651 0
0.560000 0.280000 0.0 5 53684 158 819 2514 1209 10829 8724 0
0.580000 0.290000 0.0 5 53687 154 797 2017 1159 10658 8652 0
0.600000 0.300000 0.0 5 53673 140 845 1727 1190 10348 8549 0
0.620000 0.310000 0.0 5 53681 137 794 1734 1314 10690 8460 0
0.640000 0.320000 0.0 5 53680 131 797 1827 1330 10343 8614 0
0.660000 0.330000 0.0 5 53676 122 805 2010 1318 10359 8348 0
0.680000 0.340000 0.0 5 53702 121 790 2083 1284 10307 8782 0
0.700000 0.350000 0.0 5 53717 142 842 2147 1219 10389 8466 0
0.720000 0.360000 0.0 5 53715 129 784 2143 1304 10466 8530 0
0.740000 0.370000 0.0 5 53724 122 798 2233 1263 10489 8570 0
0.760000 0.380000 0.0 5 53711 118 808 2315 1178 10452 8559 0
0.780000 0.390000 0.0 5 53711 125 797 2387 1228 10642 8704 0
0.800000 0.400000 0.0 5 53710 107 791 2297 1185 10541 8512 0
0.820000 0.410000 0.0 5 53712 122 842 1838 1214 10601 8753 0
0.840000 0.420000 0.0 5 53710 129 813 1925 1286 10667 8412 0
0.860000 0.430000 0.0 5 53710 119 764 1823 1273 10406 8531 0
0.880000 0.440000 0.0 5 53707 124 801 1705 1230 10582 8537 0
0.900000 0.450000 0.0 5 53711 128 836 1649 1312 10568 8450 0
0.920000 0.460000 0.0 5 53701 141 860 1702 1243 10502 8445 0
0.940000 0.470000 0.0 5 53702 132 962 1661 1307 10299 8346 0
0.960000 0.480000 0.0 5 53705 140 1508 1676 1204 10363 8394 0
0.980000 0.490000 0.0 5 53705 140 2042 1600 1209 10400 8491 0
1.000000 0.500000 0.0 5 53706 142 2720 1536 1217 10320 8431 0
1.020000 0.510000 0.0 5 53744 124 3052 1490 1240 10340 8477 0
1.040000 0.520000 0.0 5 53738 139 3099 1631 1195 10380 8494 0
1.060000 0.530000 0.0 5 53740 148 851 1599 1156 10476 8400 0
1.080000 0.540000 0.0 5 53739 156 810 1732 1121 10339 8494 0
1.100000 0.550000 0.0 5 53732 163 858 1988 1193 10091 8393 0
1.120000 0.560000 0.0 5 53731 155 867 2439 1135 10101 8391 0
1.140000 0.570000 0.0 5 53730 172 871 3056 1144 10165 8490 0
1.160000 0.580000 0.0 5 53725 192 899 3144 1202 10166 8424 0
1.180000 0.590000 0.0 5 53729 148 1181 3184 1259 10014 8470 0
1.200000 0.600000 0.0 5 53727 139 1713 2751 1292 10137 8406 0
1.220000 0.610000 0.0 5 53724 138 5060 2245 1266 9918 8392 0
1.240000 0.620000 0.0 5 53731 166 2778 1727 1160 10192 8433 0
1.260000 0.630000 0.0 5 53736 153 2380 1533 1134 10096 8405 0
1.280000 0.640000 0.0 5 53732 154 921 1425 1182 10160 8362 0
1.300000 0.650000 0.0 5 53727 176 844 1428 1247 10217 8121 0
1.320000 0.660000 0.0 5 53727 204 870 1532 1215 10008 8223 0
1.340000 0.670000 0.0 5 53727 213 894 1511 1211 10081 8259 0
1.360000 0.680000 0.0 5 53746 232 824 1681 1305 10047 8351 0
1.380000 0.690000 0.0 5 53767 162 945 1760 1352 10239 8233 0
1.400000 0.700000 0.0 5 53758 191 1154 1756 1383 10221 8287 0
