#Start @ Tue Jul  9 11:48:12 2019
#Twotheta(degree) Theta Q Time Count1 Count2 Count3 Count4 Count5 Count6 Count7 Count8
0.300000 0.150000 0.0 25 687140 18484 71403 73934 43584 343235 293990 0
0.400000 0.200000 0.0 25 687017 19088 70750 73706 43009 342533 293165 0
0.500000 0.250000 0.0 25 687023 19859 69046 72665 42694 342261 292101 0
0.600000 0.300000 0.0 25 687281 21451 69745 71779 42699 339808 290596 0
0.700000 0.350000 0.0 25 687199 23533 69429 71228 42454 338324 289608 0
0.800000 0.400000 0.0 25 687069 26406 69674 70329 41834 336927 289129 0
0.900000 0.450000 0.0 25 687197 29764 70196 69308 41982 335992 288868 0
1.000000 0.500000 0.0 25 687411 34289 70266 68507 41714 333371 286801 0
1.100000 0.550000 0.0 25 687289 39620 70288 67730 41253 332245 285387 0
1.200000 0.600000 0.0 25 687155 45774 70658 66782 40849 330321 284837 0
1.300000 0.650000 0.0 25 687524 52912 71333 66093 40610 328869 284283 0
1.400000 0.700000 0.0 25 687357 59997 71344 65069 40276 328169 282900 0
1.500000 0.750000 0.0 25 687291 65826 70272 63887 40188 327705 282529 0
1.600000 0.800000 0.0 25 687421 71041 69136 63074 40121 326207 281433 0
1.700000 0.850000 0.0 25 687598 76656 66879 62363 39768 324546 279588 0
1.800000 0.900000 0.0 25 687436 83519 63041 62044 39731 324816 278182 0
1.900000 0.950000 0.0 25 687378 92403 59482 60708 39793 321786 278447 0
2.000000 1.000000 0.0 25 687698 103356 55334 60539 39517 322409 277237 0
2.100000 1.050000 0.0 25 687717 117705 51452 59901 39255 319720 276890 0
2.200000 1.100000 0.0 25 687619 137222 47802 59393 38970 319541 275053 0
2.300000 1.150000 0.0 25 687535 159449 45015 58773 39118 317235 274788 0
2.400000 1.200000 0.0 25 687956 185779 42082 58593 38812 316179 274896 0
2.500000 1.250000 0.0 25 687907 216080 40645 57845 38802 316206 272983 0
2.600000 1.300000 0.0 25 687741 242118 39488 57705 39038 314929 271679 0
2.700000 1.350000 0.0 25 687753 259239 37915 56852 38798 314616 271595 0
2.800000 1.400000 0.0 25 688044 264874 37957 56680 38406 314115 271231 0
2.900000 1.450000 0.0 25 687956 257018 37127 56597 38624 313386 269724 0
3.000000 1.500000 0.0 25 687825 237974 36923 55981 38542 311479 268080 0
3.100000 1.550000 0.0 25 687926 214970 37427 56331 38210 311647 268276 0
3.200000 1.600000 0.0 25 688165 191330 37093 56313 38189 311188 266185 0
3.300000 1.650000 0.0 25 688116 170395 36954 55504 38100 309027 266557 0
3.400000 1.700000 0.0 25 688006 151533 37314 55306 38136 309978 265506 0
3.500000 1.750000 0.0 25 688409 136745 37272 54937 38240 308409 265200 0
3.600000 1.800000 0.0 25 688356 124147 36794 54867 38236 308051 263817 0
3.700000 1.850000 0.0 25 688242 114415 37030 54576 38293 307351 262209 0
3.800000 1.900000 0.0 25 688088 106505 37203 54117 38129 306441 261146 0
3.900000 1.950000 0.0 25 688517 99006 37298 53825 37806 306748 260939 0
4.000000 2.000000 0.0 25 688418 93384 36205 53678 37430 305364 259953 0
4.100000 2.050000 0.0 25 688334 89069 36019 53278 37706 305245 259305 0
4.200000 2.100000 0.0 25 688383 85749 35825 53037 37657 303883 258807 0
4.300000 2.150000 0.0 25 688627 82329 35064 52290 37608 303568 257013 0
4.400000 2.200000 0.0 25 688458 79062 34749 52146 37367 302211 257918 0
4.500000 2.250000 0.0 25 688338 75958 34156 52037 37254 301607 256336 0
4.600000 2.300000 0.0 25 688521 72924 33390 51944 37508 300352 254703 0
4.700000 2.350000 0.0 25 688744 70441 32711 51429 37417 301054 254721 0
