#Start @ Tue Jul  9 13:16:54 2019
#Twotheta(degree) Theta Q Time Count1 Count2 Count3 Count4 Count5 Count6 Count7 Count8
0.300000 0.150000 0.0 3 83456 69 70 18 22 27 11 0
0.320000 0.160000 0.0 3 83458 34 77 12 12 28 9 0
0.340000 0.170000 0.0 3 83442 39 72 9 17 29 9 0
0.360000 0.180000 0.0 3 83455 31 65 14 8 32 9 0
0.380000 0.190000 0.0 3 83443 31 73 14 5 21 8 0
0.400000 0.200000 0.0 3 83448 32 74 10 11 19 10 0
0.420000 0.210000 0.0 3 83441 34 69 16 14 23 8 0
0.440000 0.220000 0.0 3 83432 32 70 20 6 24 14 0
0.460000 0.230000 0.0 3 83442 31 60 17 9 21 7 0
0.480000 0.240000 0.0 3 83433 32 66 19 9 19 9 0
0.500000 0.250000 0.0 3 83425 26 65 19 9 19 19 0
0.520000 0.260000 0.0 3 83439 23 71 20 11 39 11 0
0.540000 0.270000 0.0 3 83445 22 76 16 11 31 8 0
0.560000 0.280000 0.0 3 83503 30 75 18 11 25 10 0
0.580000 0.290000 0.0 3 83502 27 71 14 12 21 10 0
0.600000 0.300000 0.0 3 83494 31 77 12 16 41 6 0
0.620000 0.310000 0.0 3 83502 28 81 20 13 21 3 0
0.640000 0.320000 0.0 3 83492 29 69 13 15 31 4 0
0.660000 0.330000 0.0 3 83503 22 69 20 11 28 7 0
0.680000 0.340000 0.0 3 83507 30 69 11 8 32 9 0
0.700000 0.350000 0.0 3 83503 22 66 19 11 30 6 0
0.720000 0.360000 0.0 3 83508 28 68 21 3 35 6 0
0.740000 0.370000 0.0 3 83509 23 70 18 15 27 9 0
0.760000 0.380000 0.0 3 83491 26 76 14 15 31 8 0
0.780000 0.390000 0.0 3 83498 26 67 19 12 49 11 0
0.800000 0.400000 0.0 3 83497 29 71 12 17 22 12 0
0.820000 0.410000 0.0 3 83501 35 65 13 11 25 12 0
0.840000 0.420000 0.0 3 83482 25 73 20 14 30 12 0
0.860000 0.430000 0.0 3 83476 28 68 12 10 30 10 0
0.880000 0.440000 0.0 3 83493 23 79 18 11 38 11 0
0.900000 0.450000 0.0 3 83489 29 61 16 10 35 12 0
0.920000 0.460000 0.0 3 83476 19 67 15 7 27 8 0
0.940000 0.470000 0.0 3 83462 32 74 15 12 31 9 0
0.960000 0.480000 0.0 3 83463 38 74 16 14 31 3 0
0.980000 0.490000 0.0 3 83460 26 68 14 12 31 8 0
1.000000 0.500000 0.0 3 83460 32 65 17 8 29 15 0
1.020000 0.510000 0.0 3 83466 21 69 12 5 33 6 0
1.040000 0.520000 0.0 3 83462 21 77 20 10 30 11 0
1.060000 0.530000 0.0 3 83522 26 75 24 11 39 7 0
1.080000 0.540000 0.0 3 83516 19 68 21 15 24 12 0
1.100000 0.550000 0.0 3 83512 31 71 10 11 31 9 0
1.120000 0.560000 0.0 3 83513 31 76 14 20 36 5 0
1.140000 0.570000 0.0 3 83506 26 70 22 9 21 11 0
1.160000 0.580000 0.0 3 83505 17 74 22 8 30 5 0
1.180000 0.590000 0.0 3 83508 26 66 19 6 28 10 0
1.200000 0.600000 0.0 3 83512 23 71 20 13 42 8 0
1.220000 0.610000 0.0 3 83495 27 66 12 10 24 5 0
1.240000 0.620000 0.0 3 83493 24 69 13 12 28 1 0
1.260000 0.630000 0.0 3 83486 17 63 18 11 39 6 0
1.280000 0.640000 0.0 3 83487 24 69 11 11 28 4 0
1.300000 0.650000 0.0 3 83495 21 67 16 19 33 6 0
1.320000 0.660000 0.0 3 83498 29 76 17 13 27 13 0
1.340000 0.670000 0.0 3 83484 14 69 15 11 37 5 0
1.360000 0.680000 0.0 3 83482 22 82 17 14 31 7 0
1.380000 0.690000 0.0 3 83480 32 77 18 17 30 10 0
1.400000 0.700000 0.0 3 83478 10 64 16 11 35 13 0
1.420000 0.710000 0.0 3 83472 20 79 16 18 31 4 0
1.440000 0.720000 0.0 3 83474 29 60 19 7 36 10 0
1.460000 0.730000 0.0 3 83468 21 73 18 5 36 10 0
1.480000 0.740000 0.0 3 83475 26 68 17 14 27 10 0
1.500000 0.750000 0.0 3 83466 29 78 14 8 36 8 0
1.520000 0.760000 0.0 3 83467 13 74 12 15 36 6 0
1.540000 0.770000 0.0 3 83475 17 67 21 15 37 10 0
1.560000 0.780000 0.0 3 83478 20 65 16 11 34 12 0
1.580000 0.790000 0.0 3 83519 29 74 17 12 31 4 0
1.600000 0.800000 0.0 3 83534 22 67 15 12 23 6 0
1.620000 0.810000 0.0 3 83533 21 68 14 11 33 12 0
1.640000 0.820000 0.0 3 83530 27 76 25 12 27 10 0
1.660000 0.830000 0.0 3 83533 25 70 12 14 24 3 0
1.680000 0.840000 0.0 3 83527 18 66 16 10 33 3 0
1.700000 0.850000 0.0 3 83514 24 73 14 8 31 7 0
1.720000 0.860000 0.0 3 83525 33 73 18 12 44 7 0
1.740000 0.870000 0.0 3 83526 25 72 13 14 32 11 0
1.760000 0.880000 0.0 3 83522 31 74 22 19 24 5 0
1.780000 0.890000 0.0 3 83526 24 73 16 10 30 16 0
1.800000 0.900000 0.0 3 83530 25 66 20 11 32 13 0
1.820000 0.910000 0.0 3 83525 25 72 15 14 31 5 0
1.840000 0.920000 0.0 3 83519 29 65 17 13 31 7 0
1.860000 0.930000 0.0 3 83528 23 68 22 9 35 6 0
1.880000 0.940000 0.0 3 83515 13 61 11 11 38 6 0
1.900000 0.950000 0.0 3 83525 17 69 17 10 30 6 0
1.920000 0.960000 0.0 3 83518 22 74 15 14 34 7 0
1.940000 0.970000 0.0 3 83524 17 78 17 13 32 6 0
1.960000 0.980000 0.0 3 83515 29 73 16 12 30 6 0
1.980000 0.990000 0.0 3 83509 24 79 24 15 39 6 0
2.000000 1.000000 0.0 3 83517 25 79 22 15 30 6 0
2.020000 1.010000 0.0 3 83511 25 67 13 12 22 7 0
2.040000 1.020000 0.0 3 83515 21 78 22 8 37 12 0
2.060000 1.030000 0.0 3 83577 19 76 18 11 32 7 0
2.080000 1.040000 0.0 3 83574 25 71 14 15 27 11 0
