#Start @ Tue Jul  9 12:48:54 2019
#Twotheta(degree) Theta Q Time Count1 Count2 Count3 Count4 Count5 Count6 Count7 Count8
5.100000 2.550000 0.0 10 278322 711 479 594 415 3470 2837 0
5.200000 2.600000 0.0 10 278296 611 520 560 448 3422 2828 0
5.300000 2.650000 0.0 10 278303 664 496 629 393 3389 2738 0
5.400000 2.700000 0.0 10 278309 684 487 587 449 3380 2750 0
5.500000 2.750000 0.0 10 278508 637 493 647 444 3429 2711 0
5.600000 2.800000 0.0 10 278460 677 486 528 435 3369 2715 0
5.700000 2.850000 0.0 10 278467 690 444 631 452 3376 2736 0
5.800000 2.900000 0.0 10 278488 725 465 619 398 3381 2683 0
5.900000 2.950000 0.0 10 278457 674 490 626 427 3387 2762 0
6.000000 3.000000 0.0 10 278475 675 482 628 441 3275 2669 0
6.100000 3.050000 0.0 10 278454 707 496 555 400 3261 2708 0
6.200000 3.100000 0.0 10 278480 701 471 623 441 3345 2635 0
6.300000 3.150000 0.0 10 278576 653 498 618 446 3286 2736 0
6.400000 3.200000 0.0 10 278678 652 493 576 418 3244 2638 0
6.500000 3.250000 0.0 10 278633 692 508 612 424 3374 2737 0
6.600000 3.300000 0.0 10 278575 645 536 605 449 3292 2655 0
6.700000 3.350000 0.0 10 278590 618 479 642 434 3317 2688 0
6.800000 3.400000 0.0 10 278591 670 486 589 418 3293 2647 0
6.900000 3.450000 0.0 10 278572 686 493 607 444 3270 2607 0
7.000000 3.500000 0.0 10 278564 722 486 595 401 3195 2655 0
7.100000 3.550000 0.0 10 278544 705 511 595 408 3254 2558 0
7.200000 3.600000 0.0 10 278547 693 501 643 418 3201 2646 0
7.300000 3.650000 0.0 10 278738 681 484 652 414 3122 2588 0
7.400000 3.700000 0.0 10 278744 705 488 594 423 3145 2566 0
7.500000 3.750000 0.0 10 278701 735 459 618 418 3226 2552 0
7.600000 3.800000 0.0 10 278715 732 461 588 434 3164 2512 0
7.700000 3.850000 0.0 10 278697 702 480 563 451 3121 2542 0
7.800000 3.900000 0.0 10 278676 797 453 542 428 3135 2515 0
7.900000 3.950000 0.0 10 278643 777 436 583 425 3051 2480 0
8.000000 4.000000 0.0 10 278634 792 491 569 443 3175 2600 0
8.100000 4.050000 0.0 10 278792 758 457 528 413 3051 2467 0
8.200000 4.100000 0.0 10 278787 739 504 570 426 3125 2487 0
8.300000 4.150000 0.0 10 278759 780 454 619 411 2981 2469 0
8.400000 4.200000 0.0 10 278728 731 481 545 405 3077 2444 0
8.500000 4.250000 0.0 10 278732 775 448 584 427 3090 2414 0
8.600000 4.300000 0.0 10 278719 746 452 551 406 3042 2476 0
8.700000 4.350000 0.0 10 278736 783 427 518 390 3032 2412 0
8.800000 4.400000 0.0 10 278721 752 440 569 397 2999 2458 0
8.900000 4.450000 0.0 10 278827 745 437 575 372 3001 2452 0
